,Intenship_program_type,Age,Country,Region,Current_Ooccupation, Enrollment_In_Upskilling_Courses ,What is your preferred method of communication?WP/Insta/LinkedIn,Hours_Per_Week,communication_language_preferred,where_did_you_come_to_know_about_this_internship
224,Product Development,23,Indonesia,APAC,University Student, No- I have not ,"WhatsApp,LinkedIn",10-15 hours,None  ,linkedin
225,Product Marketing,19,Indonesia,APAC,University Student, No- I have not ,"Email,WhatsApp,LinkedIn",10-15 hours,english  ,linkedin
226,Product Marketing,21,Indonesia,APAC,University Student, No- I have not ,Email,15-20 hours,english  ,referral
227,Product Marketing,22,Indonesia,APAC,University Student, No- I have not ,WhatsApp,15-20 hours,english  ,linkedin
228,"Product Marketing,Product Growth ",23,Indonesia,APAC,University Student, No- I have not ,Email,15-20 hours,bahasa  ,linkedin
229,"Product Marketing,Product Development",29,Indonesia,APAC,Currently Unemployed, I have started a few- but haven't really gotten much out of them/haven't completed any ,"WhatsApp,Email",15-20 hours,bahasa  ,linkedin
230,"Product Marketing,Product Design,Product Development,Product Growth ",22,Indonesia,APAC,University Student, No- I have not ,"Email,WhatsApp",10-15 hours,bahasa  ,referral
231,"Product Marketing,Product Development,Product Growth ",22,Indonesia,APAC,Recently Graduated and Unemployed, Yes- I have completed multiple such courses ,"Email,WhatsApp,LinkedIn,Instagram",10-15 hours,None  ,instagram
232,Product Marketing,25,Indonesia,APAC,Recently Graduated and Unemployed, No- I have not ,"Email,WhatsApp,LinkedIn",10-15 hours,None  ,linkedin
233,Product Design,18,Indonesia,APAC,University Student, Yes- I have completed multiple such courses ,"Email,WhatsApp,LinkedIn,Instagram",10-15 hours,english  ,linkedin
234,Product Marketing,26,Indonesia,APAC,Employed, No- I have not ,WhatsApp,15-20 hours,english  ,referral
235,Product Growth,21,Indonesia,APAC,University Student, Yes- I have completed multiple such courses ,"Email,WhatsApp,LinkedIn",15-20 hours,english  ,referral
236,"Product Development,Product Growth ",21,Indonesia,APAC,University Student, No- I have not ,"WhatsApp,LinkedIn,Email",10-15 hours,None  ,referral
237,Product Growth,21,Indonesia,APAC,University Student, I have started a few- but haven't really gotten much out of them/haven't completed any ,"WhatsApp,Email",10-15 hours,None  ,linkedin
238,"Product Design,Product Development",21,Indonesia,APAC,University Student, Yes- I have completed multiple such courses ,"Email,WhatsApp",10-15 hours,english  ,linkedin
239,Product Design,23,Indonesia,APAC,Recently Graduated and Unemployed, Yes- I have completed multiple such courses ,"WhatsApp,LinkedIn,Email",10-15 hours,english  ,linkedin
240,"Product Marketing,Product Design,Product Growth ",24,Indonesia,APAC,University Student, No- I have not ,WhatsApp,20-25 hours,"english,spanish ",linkedin
241,Product Marketing,28,Indonesia,APAC,Employed, No- I have not ,Email,10-15 hours,english  ,linkedin
242,Product Development,20,Indonesia,APAC,University Student, Yes- I have completed multiple such courses ,"Email,WhatsApp",20-25 hours,None  ,referral
243,Product Development,21,Indonesia,APAC,University Student, No- I have not ,"Email,WhatsApp",15-20 hours,no  ,linkedin
244,"Product Marketing,Product Design,Product Development,Product Growth ",27,Iran,APAC,University Student, I have started a few- but haven't really gotten much out of them/haven't completed any ,WhatsApp,15-20 hours,english  ,linkedin
245,Product Design,24,Ireland,Europe,University Student, Yes- I have completed multiple such courses ,Email,10-15 hours,no  ,linkedin
246,Product Marketing,19,Ireland,Europe,Recently Graduated and Unemployed, Yes- I have completed multiple such courses ,"Email,LinkedIn,Instagram",20-25 hours,"russian,german ",linkedin
247,Product Marketing,26,Ireland,Europe,University Student, Yes- I have completed multiple such courses ,Email,20-25 hours,english  ,linkedin
248,Product Marketing,23,Israel,Europe,Currently Unemployed, Yes- I have completed multiple such courses ,"Email,WhatsApp,LinkedIn",15-20 hours,english  ,referral
249,Product Design,32,Israel,Europe,Currently Unemployed, Yes- I have completed multiple such courses ,"Email,LinkedIn,WhatsApp",15-20 hours,english  ,linkedin
250,Product Development,34,Israel,Europe,Employed, Yes- I have completed multiple such courses ,WhatsApp,15-20 hours,no  ,linkedin
251,Product Development,26,Israel,Europe,University Student, Yes- I have completed multiple such courses ,Email,15-20 hours,english  ,referral
252,Product Design,24,Italy,Europe,University Student, Yes- I have completed multiple such courses ,Email,10-15 hours,english  ,linkedin
253,Product Development,33,Italy,Europe,Currently Unemployed, Yes- I have completed multiple such courses ,Email,20-25 hours,"english,spanish ",linkedin
254,"Product Development,Product Growth ,Product Marketing",25,Jamaica,Americas,Recently Graduated and Unemployed, No- I have not ,WhatsApp,10-15 hours,english  ,linkedin
255,"Product Growth ,Product Development,Product Marketing",21,Jamaica,Americas,University Student, Yes- I have completed multiple such courses ,Email,15-20 hours,english  ,referral
256,Product Design,24,Jordan,MENo,Recently Graduated and Unemployed, No- I have not ,LinkedIn,10-15 hours,arabic  ,referral
257,"Product Marketing,Product Growth ,Product Design",23,Jordan,MENo,Recently Graduated and Unemployed, No- I have not ,"Email,WhatsApp,LinkedIn",10-15 hours,arabic  ,linkedin
258,Product Marketing,23,Jordan,MENo,Recently Graduated and Unemployed, Yes- I have completed multiple such courses ,WhatsApp,20-25 hours,"english,arabic ",linkedin
259,"Product Design,Product Development",23,Jordan,MENo,Recently Graduated and Unemployed, Yes- I have completed multiple such courses ,"Instagram,WhatsApp,Email",20-25 hours,english  ,linkedin
260,"Product Marketing,Product Development",32,Kenya,Africa,Currently Unemployed, No- I have not ,"WhatsApp,LinkedIn,Email",10-15 hours,english  ,linkedin
261,Product Marketing,33,Kenya,Africa,Currently Unemployed, No- I have not ,Email,10-15 hours,no  ,google
262,Product Marketing,22,Kenya,Africa,University Student, I have started a few- but haven't really gotten much out of them/haven't completed any ,Email,10-15 hours,english  ,linkedin
263,"Product Marketing,Product Design,Product Growth ,Product Development",23,Kenya,Africa,Recently Graduated and Unemployed, No- I have not ,Email,10-15 hours,english  ,linkedin
264,Product Marketing,31,Kenya,Africa,Currently Unemployed, No- I have not ,"Email,WhatsApp",15-20 hours,english  ,referral
265,Product Development,21,Kenya,Africa,Currently Unemployed, Yes- I have completed multiple such courses ,"Email,WhatsApp,LinkedIn,Instagram",10-15 hours,english  ,referral
266,"Product Design,Product Marketing",23,Kosovo,Europe,Currently Unemployed, Yes- I have completed multiple such courses ,"Email,LinkedIn",10-15 hours,english  ,linkedin
267,Product Design,34,Latvia,Europe,Employed, No- I have not ,Email,10-15 hours,english  ,linkedin
268,Product Design,21,Lebanon,MENo,University Student, Yes- I have completed multiple such courses ,"Email,LinkedIn",10-15 hours,english  ,linkedin
269,Product Development,24,Lebanon,MENo,University Student, No- I have not ,WhatsApp,10-15 hours,no  ,referral
