,Intenship_program_type,Age,Country,Region,Current_Ooccupation, Enrollment_In_Upskilling_Courses ,What is your preferred method of communication?WP/Insta/LinkedIn,Hours_Per_Week,communication_language_preferred,where_did_you_come_to_know_about_this_internship
887,"Product Growth ,Product Marketing",18,UAE,MENo,University Student, I have started a few- but haven't really gotten much out of them/haven't completed any ,"Email,WhatsApp,LinkedIn",10-15 hours,english  ,referral
888,"Product Marketing,Product Design,Product Development,Product Growth ",26,UAE,MENo,Recently Graduated and Unemployed, Yes- I have completed multiple such courses ,"Email,LinkedIn",10-15 hours,english  ,linkedin
889,"Product Marketing,Product Design,Product Development,Product Growth ",21,UAE,MENo,Recently Graduated and Unemployed, Yes- I have completed multiple such courses ,"Email,LinkedIn,WhatsApp",20-25 hours,english  ,referral
890,Product Marketing,24,UAE,MENo,Currently Unemployed, I have started a few- but haven't really gotten much out of them/haven't completed any ,WhatsApp,10-15 hours,english  ,linkedin
891,"Product Growth ,Product Development,Product Design,Product Marketing",21,UAE,MENo,Recently Graduated and Unemployed, No- I have not ,"WhatsApp,LinkedIn",10-15 hours,english  ,linkedin
892,Product Development,18,UAE,MENo,University Student, No- I have not ,WhatsApp,10-15 hours,english  ,linkedin
893,"Product Growth ,Product Development,Product Marketing,Product Design",24,UAE,MENo,Recently Graduated and Unemployed, Yes- I have completed multiple such courses ,Email,20-25 hours,english  ,linkedin
894,"Product Design,Product Development,Product Growth ",22,UAE,MENo,University Student, Yes- I have completed multiple such courses ,"WhatsApp,Email",10-15 hours,english  ,referral
895,Product Design,27,UAE,MENo,Currently Unemployed, No- I have not ,Email,10-15 hours,no  ,linkedin
896,Product Marketing,21,UAE,MENo,Recently Graduated and Unemployed, No- I have not ,WhatsApp,15-20 hours,arabic  ,referral
897,"Product Design,Product Marketing",23,UAE,MENo,University Student, No- I have not ,"WhatsApp,LinkedIn",15-20 hours,english  ,linkedin
898,Product Marketing,26,UAE,MENo,Recently Graduated and Unemployed, No- I have not ,"Email,WhatsApp",10-15 hours,english  ,linkedin
899,"Product Marketing,Product Design",33,UAE,MENo,Employed, Yes- I have completed multiple such courses ,"Email,WhatsApp",10-15 hours,english  ,linkedin
900,Product Marketing,25,UAE,MENo,University Student, No- I have not ,WhatsApp,10-15 hours,"hindi,arabic ",referral
901,Product Marketing,30,UAE,MENo,Employed, Yes- I have completed multiple such courses ,"Instagram,WhatsApp",20-25 hours,english  ,linkedin
902,Product Development,21,UAE,MENo,University Student, No- I have not ,"WhatsApp,Email",15-20 hours,english  ,linkedin
903,"Product Design,Product Development",22,UAE,MENo,University Student, No- I have not ,WhatsApp,10-15 hours,None  ,referral
904,Product Marketing,26,UAE,MENo,Recently Graduated and Unemployed, I have started a few- but haven't really gotten much out of them/haven't completed any ,"Email,WhatsApp",10-15 hours,arabic  ,linkedin
905,Product Development,21,UAE,MENo,Recently Graduated and Unemployed, Yes- I have completed multiple such courses ,WhatsApp,10-15 hours,english  ,linkedin
906,Product Development,22,UAE,MENo,University Student, I have started a few- but haven't really gotten much out of them/haven't completed any ,"WhatsApp,Email",10-15 hours,english  ,linkedin
907,"Product Design,Product Development",20,UAE,MENo,University Student, No- I have not ,"WhatsApp,Email",20-25 hours,english  ,linkedin
908,"Product Development,Product Growth ",29,UAE,MENo,Currently Unemployed, No- I have not ,"Email,WhatsApp,LinkedIn",15-20 hours,arabic  ,linkedin
909,Product Development,22,UAE,MENo,University Student, Yes- I have completed multiple such courses ,"WhatsApp,Email",15-20 hours,english  ,referral
910,Product Development,23,UAE,MENo,University Student, Yes- I have completed multiple such courses ,"Email,WhatsApp,LinkedIn",10-15 hours,english  ,linkedin
911,Product Development,18,UAE,MENo,University Student, I have started a few- but haven't really gotten much out of them/haven't completed any ,Email,10-15 hours,english  ,linkedin
912,Product Design,25,Ukraine,Europe,Currently Unemployed, I have started a few- but haven't really gotten much out of them/haven't completed any ,Email,15-20 hours,None  ,linkedin
913,Product Development,19,Ukraine,Europe,University Student, Yes- I have completed multiple such courses ,"Instagram,Email,WhatsApp",15-20 hours,None  ,linkedin
914,"Product Marketing,Product Design,Product Development,Product Growth ",25,United Kingdom,Europe,University Student, I have started a few- but haven't really gotten much out of them/haven't completed any ,"WhatsApp,Email,LinkedIn,Instagram",20-25 hours,english  ,linkedin
915,"Product Growth ,Product Marketing",22,United Kingdom,Europe,Recently Graduated and Unemployed, No- I have not ,Email,10-15 hours,english  ,linkedin
916,"Product Marketing,Product Design,Product Development,Product Growth ",20,United Kingdom,Europe,University Student, No- I have not ,Email,10-15 hours,english  ,linkedin
917,"Product Marketing,Product Design",23,United Kingdom,Europe,Recently Graduated and Unemployed, Yes- I have completed multiple such courses ,"Email,LinkedIn",10-15 hours,english  ,linkedin
918,Product Development,25,United Kingdom,Europe,University Student, I have started a few- but haven't really gotten much out of them/haven't completed any ,"LinkedIn,Email",10-15 hours,english  ,linkedin
919,Product Marketing,23,United Kingdom,Europe,Recently Graduated and Unemployed, No- I have not ,"Email,LinkedIn",20-25 hours,no  ,linkedin
920,Product Growth,24,United Kingdom,Europe,Currently Unemployed, Yes- I have completed multiple such courses ,"Email,WhatsApp",10-15 hours,english  ,linkedin
921,Product Marketing,21,United Kingdom,Europe,University Student, No- I have not ,Email,10-15 hours,english  ,linkedin
922,"Product Marketing,Product Development",19,United Kingdom,Europe,University Student, I have started a few- but haven't really gotten much out of them/haven't completed any ,Email,10-15 hours,english  ,referral
923,Product Marketing,29,United Kingdom,Europe,Currently Unemployed, Yes- I have completed multiple such courses ,"Email,WhatsApp",10-15 hours,None  ,linkedin
924,"Product Marketing,Product Design,Product Development,Product Growth ",24,United Kingdom,Europe,University Student, I have started a few- but haven't really gotten much out of them/haven't completed any ,Email,10-15 hours,english  ,google
925,Product Marketing,23,United Kingdom,Europe,Recently Graduated and Unemployed, Yes- I have completed multiple such courses ,Email,20-25 hours,english  ,linkedin
926,Product Marketing,27,United Kingdom,Europe,University Student, No- I have not ,"WhatsApp,Email,LinkedIn",15-20 hours,no  ,referral
927,"Product Design,Product Marketing",19,United Kingdom,Europe,University Student, No- I have not ,"Email,WhatsApp",20-25 hours,no  ,linkedin
928,"Product Marketing,Product Development",30,United Kingdom,Europe,Recently Graduated and Unemployed, Yes- I have completed multiple such courses ,"WhatsApp,Email,LinkedIn",20-25 hours,None  ,linkedin
929,"Product Marketing,Product Design,Product Development,Product Growth ",26,United Kingdom,Europe,Recently Graduated and Unemployed, No- I have not ,"Email,LinkedIn",15-20 hours,english  ,linkedin
930,Product Development,29,United Kingdom,Europe,University Student, No- I have not ,"Email,WhatsApp",15-20 hours,None  ,linkedin
931,"Product Growth ,Product Marketing",20,United Kingdom,Europe,University Student, I have started a few- but haven't really gotten much out of them/haven't completed any ,"Email,WhatsApp,LinkedIn",15-20 hours,english  ,referral
932,Product Design,19,United Kingdom,Europe,University Student, I have started a few- but haven't really gotten much out of them/haven't completed any ,Email,10-15 hours,no  ,referral
933,"Product Marketing,Product Design,Product Development,Product Growth ",37,United Kingdom,Europe,Currently Unemployed, I have started a few- but haven't really gotten much out of them/haven't completed any ,"Email,WhatsApp",20-25 hours,None  ,linkedin
934,Product Marketing,22,United Kingdom,Europe,University Student, I have started a few- but haven't really gotten much out of them/haven't completed any ,WhatsApp,10-15 hours,english  ,referral
935,Product Marketing,23,United Kingdom,Europe,University Student, Yes- I have completed multiple such courses ,"Email,WhatsApp",20-25 hours,english  ,linkedin
936,Product Marketing,23,United Kingdom,Europe,Recently Graduated and Unemployed, No- I have not ,"LinkedIn,Email,WhatsApp",15-20 hours,english  ,linkedin
937,Product Marketing,27,United Kingdom,Europe,University Student, No- I have not ,"Email,WhatsApp,LinkedIn",10-15 hours,english  ,linkedin
938,"Product Marketing,Product Growth ",20,United Kingdom,Europe,University Student, No- I have not ,"WhatsApp,LinkedIn",15-20 hours,no  ,linkedin
939,"Product Development,Product Growth ,Product Marketing",31,United Kingdom,Europe,University Student, Yes- I have completed multiple such courses ,"WhatsApp,Email",20-25 hours,None  ,linkedin
940,"Product Marketing,Product Design,Product Development,Product Growth ",33,United Kingdom,Europe,Employed, Yes- I have completed multiple such courses ,"Email,LinkedIn",20-25 hours,english  ,linkedin
941,"Product Marketing,Product Development,Product Growth ",26,United Kingdom,Europe,University Student, No- I have not ,WhatsApp,10-15 hours,english  ,linkedin
942,Product Growth,21,United Kingdom,Europe,University Student, Yes- I have completed multiple such courses ,"WhatsApp,Email",20-25 hours,english  ,linkedin
943,"Product Marketing,Product Growth ",22,United Kingdom,Europe,University Student, I have started a few- but haven't really gotten much out of them/haven't completed any ,"Email,WhatsApp",15-20 hours,english  ,linkedin
944,"Product Marketing,Product Design",28,United Kingdom,Europe,Employed, No- I have not ,"Email,WhatsApp,LinkedIn",20-25 hours,english  ,linkedin
945,"Product Development,Product Growth ,Product Marketing",24,United Kingdom,Europe,University Student, Yes- I have completed multiple such courses ,LinkedIn,10-15 hours,no  ,linkedin
946,"Product Marketing,Product Design",21,United Kingdom,Europe,Recently Graduated and Unemployed, No- I have not ,"LinkedIn,WhatsApp",15-20 hours,"english,arabic ",linkedin
947,Product Design,34,United Kingdom,Europe,Currently Unemployed, Yes- I have completed multiple such courses ,"WhatsApp,LinkedIn,Email",20-25 hours,None  ,referral
948,Product Design,28,United Kingdom,Europe,Recently Graduated and Unemployed, Yes- I have completed multiple such courses ,"Email,WhatsApp",10-15 hours,english  ,referral
949,Product Design,33,United Kingdom,Europe,Currently Unemployed, Yes- I have completed multiple such courses ,Email,15-20 hours,english  ,referral
950,Product Marketing,26,United Kingdom,Europe,Currently Unemployed, No- I have not ,"Email,LinkedIn",20-25 hours,english  ,linkedin
951,Product Design,25,United Kingdom,Europe,Currently Unemployed, I have started a few- but haven't really gotten much out of them/haven't completed any ,"Email,LinkedIn",15-20 hours,english  ,linkedin
952,Product Design,26,United Kingdom,Europe,Recently Graduated and Unemployed, Yes- I have completed multiple such courses ,Email,10-15 hours,english  ,linkedin
953,Product Development,19,United Kingdom,Europe,University Student, Yes- I have completed multiple such courses ,"WhatsApp,Email",20-25 hours,english  ,linkedin
954,Product Development,24,United Kingdom,Europe,University Student, I have started a few- but haven't really gotten much out of them/haven't completed any ,Email,15-20 hours,english  ,linkedin
955,"Product Design,Product Development",23,USA,Americas,University Student, I have started a few- but haven't really gotten much out of them/haven't completed any ,"Email,LinkedIn,Instagram",15-20 hours,english  ,linkedin
956,"Product Marketing,Product Design",22,USA,Americas,Recently Graduated and Unemployed, No- I have not ,"Email,LinkedIn",15-20 hours,english  ,linkedin
957,Product Marketing,23,USA,Americas,Recently Graduated and Unemployed, No- I have not ,Email,10-15 hours,english  ,linkedin
958,Product Design,27,USA,Americas,Currently Unemployed, Yes- I have completed multiple such courses ,Email,20-25 hours,english  ,linkedin
959,Product Design,27,USA,Americas,Employed, Yes- I have completed multiple such courses ,Email,10-15 hours,None  ,referral
960,"Product Development,Product Design",27,USA,Americas,University Student, I have started a few- but haven't really gotten much out of them/haven't completed any ,"WhatsApp,Email",10-15 hours,english  ,linkedin
961,Product Design,25,USA,Americas,Recently Graduated and Unemployed, Yes- I have completed multiple such courses ,Email,20-25 hours,english  ,referral
962,Product Development,27,USA,Americas,University Student, No- I have not ,"WhatsApp,Email,LinkedIn",10-15 hours,english  ,linkedin
963,"Product Design,Product Development,Product Growth ",21,USA,Americas,Employed, Yes- I have completed multiple such courses ,"Email,LinkedIn",15-20 hours,english  ,linkedin
964,"Product Marketing,Product Design,Product Growth ",21,USA,Americas,University Student, I have started a few- but haven't really gotten much out of them/haven't completed any ,"Instagram,LinkedIn,Email",15-20 hours,english  ,referral
965,Product Design,42,USA,Americas,Employed, Yes- I have completed multiple such courses ,Email,20-25 hours,None  ,linkedin
966,"Product Marketing,Product Design,Product Development,Product Growth ",28,USA,Americas,Currently Unemployed, Yes- I have completed multiple such courses ,"Email,LinkedIn,WhatsApp",20-25 hours,english  ,linkedin
967,Product Development,22,USA,Americas,University Student, Yes- I have completed multiple such courses ,"LinkedIn,Email",20-25 hours,english  ,linkedin
968,Product Design,20,USA,Americas,Currently Unemployed, No- I have not ,"LinkedIn,Email,WhatsApp",20-25 hours,english  ,referral
969,Product Development,21,USA,Americas,University Student, No- I have not ,LinkedIn,10-15 hours,english  ,linkedin
970,"Product Marketing,Product Development",20,USA,Americas,University Student, No- I have not ,Email,20-25 hours,no  ,linkedin
971,"Product Design,Product Growth ,Product Development",25,USA,Americas,Currently Unemployed, Yes- I have completed multiple such courses ,LinkedIn,10-15 hours,english  ,linkedin
972,"Product Growth ,Product Development,Product Marketing",25,USA,Americas,Employed, No- I have not ,Email,10-15 hours,no  ,linkedin
973,Product Design,28,USA,Americas,High School Student, Yes- I have completed multiple such courses ,"Email,LinkedIn",20-25 hours,english  ,linkedin
974,"Product Design,Product Development",20,USA,Americas,University Student, Yes- I have completed multiple such courses ,"Email,WhatsApp,LinkedIn",20-25 hours,"english,telugu ",linkedin
975,"Product Design,Product Growth ,Product Development",25,USA,Americas,Recently Graduated and Unemployed, I have started a few- but haven't really gotten much out of them/haven't completed any ,Email,20-25 hours,no  ,referral
976,"Product Marketing,Product Design",21,USA,Americas,Recently Graduated and Unemployed, Yes- I have completed multiple such courses ,"Email,LinkedIn",10-15 hours,english  ,linkedin
977,Product Design,24,USA,Americas,University Student, Yes- I have completed multiple such courses ,Email,15-20 hours,english  ,linkedin
978,"Product Design,Product Development",35,USA,Americas,Recently Graduated and Unemployed, No- I have not ,"Email,WhatsApp",20-25 hours,"english,spanish ",linkedin
979,Product Design,24,USA,Americas,Currently Unemployed, Yes- I have completed multiple such courses ,LinkedIn,15-20 hours,english  ,linkedin
980,Product Design,30,USA,Americas,Recently Graduated and Unemployed, No- I have not ,"WhatsApp,LinkedIn",15-20 hours,english  ,linkedin
981,Product Design,30,USA,Americas,Currently Unemployed, Yes- I have completed multiple such courses ,"WhatsApp,Email",15-20 hours,english  ,linkedin
982,Product Design,18,USA,Americas,University Student, Yes- I have completed multiple such courses ,"Email,LinkedIn",10-15 hours,english  ,linkedin
983,"Product Marketing,Product Design",25,USA,Americas,Recently Graduated and Unemployed, I have started a few- but haven't really gotten much out of them/haven't completed any ,"Email,LinkedIn",10-15 hours,english  ,linkedin
984,Product Design,26,USA,Americas,Currently Unemployed, Yes- I have completed multiple such courses ,"Email,LinkedIn",20-25 hours,english  ,referral
985,Product Design,24,USA,Americas,University Student, Yes- I have completed multiple such courses ,Email,10-15 hours,no  ,linkedin
986,Product Design,23,USA,Americas,Employed, Yes- I have completed multiple such courses ,"Email,LinkedIn",10-15 hours,"english,spanish ",referral
987,"Product Growth ,Product Design",25,USA,Americas,University Student, Yes- I have completed multiple such courses ,"WhatsApp,LinkedIn,Email",20-25 hours,no  ,linkedin
988,"Product Design,Product Growth ,Product Development",26,USA,Americas,University Student, I have started a few- but haven't really gotten much out of them/haven't completed any ,Email,15-20 hours,None  ,linkedin
989,"Product Marketing,Product Design,Product Development,Product Growth ",20,USA,Americas,University Student, Yes- I have completed multiple such courses ,Email,10-15 hours,english  ,linkedin
990,"Product Marketing,Product Design,Product Development,Product Growth ",20,USA,Americas,University Student, No- I have not ,"Email,WhatsApp,LinkedIn",20-25 hours,no  ,linkedin
991,"Product Marketing,Product Development,Product Growth ",26,USA,Americas,University Student, Yes- I have completed multiple such courses ,Email,10-15 hours,english  ,linkedin
992,"Product Marketing,Product Design",29,USA,Americas,Recently Graduated and Unemployed, No- I have not ,"Email,LinkedIn",15-20 hours,no  ,linkedin
993,"Product Design,Product Development",27,USA,Americas,Recently Graduated and Unemployed, I have started a few- but haven't really gotten much out of them/haven't completed any ,"Email,LinkedIn",20-25 hours,english  ,referral
994,Product Design,22,USA,Americas,Recently Graduated and Unemployed, No- I have not ,Email,10-15 hours,english  ,linkedin
995,"Product Development,Product Growth ",19,USA,Americas,University Student, Yes- I have completed multiple such courses ,Email,10-15 hours,english  ,linkedin
996,Product Design,24,USA,Americas,University Student, Yes- I have completed multiple such courses ,"Email,WhatsApp",15-20 hours,english  ,google
997,Product Design,21,USA,Americas,University Student, No- I have not ,"Email,WhatsApp",10-15 hours,english  ,linkedin
998,"Product Development,Product Growth ",19,USA,Americas,University Student, I have started a few- but haven't really gotten much out of them/haven't completed any ,"Email,LinkedIn",10-15 hours,english  ,linkedin
999,"Product Growth ,Product Design,Product Development",22,USA,Americas,University Student, Yes- I have completed multiple such courses ,"WhatsApp,Email,LinkedIn",10-15 hours,english  ,referral
1000,"Product Development,Product Design,Product Growth ",30,USA,Americas,Currently Unemployed, Yes- I have completed multiple such courses ,"LinkedIn,Email",10-15 hours,spanish  ,linkedin
1001,Product Design,19,USA,Americas,University Student, Yes- I have completed multiple such courses ,"LinkedIn,Email",10-15 hours,english  ,linkedin
1002,"Product Marketing,Product Design",22,USA,Americas,Recently Graduated and Unemployed, No- I have not ,Email,10-15 hours,english  ,linkedin
1003,"Product Marketing,Product Design,Product Development,Product Growth ",22,USA,Americas,University Student, No- I have not ,"Email,WhatsApp,LinkedIn,Instagram",15-20 hours,english  ,linkedin
1004,Product Design,23,USA,Americas,University Student, Yes- I have completed multiple such courses ,"Email,LinkedIn",10-15 hours,english  ,linkedin
1005,"Product Design,Product Development",22,USA,Americas,Currently Unemployed, No- I have not ,LinkedIn,20-25 hours,english  ,linkedin
1006,Product Design,25,USA,Americas,Currently Unemployed, Yes- I have completed multiple such courses ,"LinkedIn,Email",10-15 hours,english  ,linkedin
1007,Product Growth,23,USA,Americas,University Student, Yes- I have completed multiple such courses ,"Email,WhatsApp,LinkedIn",20-25 hours,english  ,linkedin
1008,"Product Marketing,Product Growth ",20,USA,Americas,University Student, Yes- I have completed multiple such courses ,"Email,LinkedIn",20-25 hours,english  ,linkedin
1009,Product Design,27,USA,Americas,Currently Unemployed, Yes- I have completed multiple such courses ,"Email,LinkedIn,WhatsApp",10-15 hours,english  ,linkedin
1010,Product Design,23,USA,Americas,Recently Graduated and Unemployed, Yes- I have completed multiple such courses ,"WhatsApp,LinkedIn",20-25 hours,english  ,referral
1011,Product Design,32,USA,Americas,Employed, Yes- I have completed multiple such courses ,Email,15-20 hours,english  ,linkedin
1012,"Product Growth ,Product Marketing",26,USA,Americas,University Student, Yes- I have completed multiple such courses ,"LinkedIn,Email",15-20 hours,no  ,referral
1013,"Product Development,Product Growth ",25,USA,Americas,Employed, Yes- I have completed multiple such courses ,"Email,LinkedIn",15-20 hours,no  ,linkedin
1014,"Product Marketing,Product Development,Product Growth ,Product Design",17,USA,Americas,High School Student, Yes- I have completed multiple such courses ,Email,15-20 hours,english  ,linkedin
1015,Product Design,21,USA,Americas,University Student, Yes- I have completed multiple such courses ,"Email,WhatsApp,LinkedIn",20-25 hours,english  ,linkedin
1016,"Product Growth ,Product Development",30,USA,Americas,University Student, I have started a few- but haven't really gotten much out of them/haven't completed any ,Email,20-25 hours,english  ,linkedin
1017,Product Design,26,USA,Americas,Currently Unemployed, Yes- I have completed multiple such courses ,"Email,LinkedIn",15-20 hours,english  ,linkedin
1018,"Product Marketing,Product Design",22,USA,Americas,Recently Graduated and Unemployed, Yes- I have completed multiple such courses ,"Email,LinkedIn",20-25 hours,english  ,linkedin
1019,"Product Marketing,Product Growth ",22,USA,Americas,University Student, No- I have not ,Email,15-20 hours,no  ,linkedin
1020,"Product Development,Product Design,Product Growth ",22,USA,Americas,Recently Graduated and Unemployed, Yes- I have completed multiple such courses ,"LinkedIn,Email",20-25 hours,english  ,referral
1021,Product Design,27,USA,Americas,Recently Graduated and Unemployed, No- I have not ,"LinkedIn,Email",20-25 hours,english  ,linkedin
1022,Product Design,33,USA,Americas,Employed, No- I have not ,Email,10-15 hours,no  ,linkedin
1023,Product Development,38,USA,Americas,Currently Unemployed, Yes- I have completed multiple such courses ,"Email,WhatsApp,LinkedIn",20-25 hours,no  ,linkedin
1024,Product Design,21,USA,Americas,University Student, Yes- I have completed multiple such courses ,Email,20-25 hours,no  ,linkedin
1025,Product Design,29,USA,Americas,Currently Unemployed, Yes- I have completed multiple such courses ,"Email,LinkedIn",15-20 hours,english  ,linkedin
1026,Product Marketing,24,USA,Americas,Currently Unemployed, I have started a few- but haven't really gotten much out of them/haven't completed any ,"Email,LinkedIn",20-25 hours,english  ,referral
1027,"Product Marketing,Product Development",20,USA,Americas,University Student, Yes- I have completed multiple such courses ,Email,15-20 hours,english  ,referral
1028,"Product Marketing,Product Development",19,USA,Americas,University Student, Yes- I have completed multiple such courses ,Email,15-20 hours,english  ,referral
1029,"Product Development,Product Growth ",26,USA,Americas,University Student, Yes- I have completed multiple such courses ,"Email,WhatsApp,LinkedIn",20-25 hours,no  ,linkedin
1030,Product Development,19,USA,Americas,University Student, Yes- I have completed multiple such courses ,"Email,LinkedIn",20-25 hours,no  ,linkedin
1031,Product Design,20,USA,Americas,University Student, No- I have not ,Email,20-25 hours,no  ,linkedin
1032,Product Design,23,USA,Americas,Employed, Yes- I have completed multiple such courses ,"Instagram,Email,WhatsApp",10-15 hours,english  ,indeed
1033,"Product Development,Product Design",25,USA,Americas,Employed, Yes- I have completed multiple such courses ,"Email,WhatsApp",15-20 hours,"no,english ",referral
1034,Product Design,26,USA,Americas,Recently Graduated and Unemployed, No- I have not ,"Email,WhatsApp",10-15 hours,english  ,linkedin
1035,"Product Design,Product Development",22,USA,Americas,Recently Graduated and Unemployed, No- I have not ,Email,20-25 hours,english  ,linkedin
1036,"Product Marketing,Product Design,Product Development,Product Growth ",30,USA,Americas,University Student, Yes- I have completed multiple such courses ,"Email,LinkedIn",10-15 hours,english  ,linkedin
1037,"Product Marketing,Product Design,Product Development",34,USA,Americas,University Student, No- I have not ,"LinkedIn,Email,WhatsApp",10-15 hours,english  ,linkedin
1038,"Product Development,Product Growth ",24,USA,Americas,University Student, Yes- I have completed multiple such courses ,"Email,WhatsApp,LinkedIn",20-25 hours,no  ,linkedin
1039,Product Design,26,USA,Americas,University Student, Yes- I have completed multiple such courses ,"Email,LinkedIn",10-15 hours,no  ,linkedin
1040,Product Design,30,USA,Americas,Employed, No- I have not ,"LinkedIn,Email",15-20 hours,english  ,referral
1041,"Product Development,Product Design",21,USA,Americas,University Student, No- I have not ,"Email,LinkedIn,Instagram",10-15 hours,english  ,referral
1042,Product Design,22,USA,Americas,University Student, Yes- I have completed multiple such courses ,Email,15-20 hours,None  ,linkedin
1043,Product Marketing,19,USA,Americas,Recently Graduated and Unemployed, No- I have not ,"Instagram,LinkedIn,WhatsApp",15-20 hours,english  ,linkedin
1044,Product Design,24,USA,Americas,Employed, I have started a few- but haven't really gotten much out of them/haven't completed any ,"Email,LinkedIn",10-15 hours,no  ,linkedin
1045,Product Design,21,USA,Americas,University Student, Yes- I have completed multiple such courses ,LinkedIn,10-15 hours,english  ,linkedin
1046,"Product Development,Product Design",21,USA,Americas,University Student, Yes- I have completed multiple such courses ,"Email,LinkedIn",10-15 hours,no  ,referral
1047,"Product Marketing,Product Design",41,USA,Americas,Employed, No- I have not ,Email,15-20 hours,english  ,referral
1048,"Product Design,Product Development,Product Growth ",26,USA,Americas,University Student, I have started a few- but haven't really gotten much out of them/haven't completed any ,"Email,WhatsApp,LinkedIn",10-15 hours,no  ,linkedin
1049,"Product Marketing,Product Growth ",21,USA,Americas,University Student, No- I have not ,Email,10-15 hours,english  ,linkedin
1050,Product Design,25,USA,Americas,Recently Graduated and Unemployed, I have started a few- but haven't really gotten much out of them/haven't completed any ,"WhatsApp,Email",15-20 hours,english  ,referral
1051,Product Development,20,USA,Americas,University Student, No- I have not ,Email,10-15 hours,english  ,referral
1052,"Product Design,Product Development,Product Growth ",18,USA,Americas,University Student, Yes- I have completed multiple such courses ,"Email,WhatsApp,LinkedIn",10-15 hours,None  ,referral
1053,"Product Marketing,Product Growth ,Product Design",22,USA,Americas,Recently Graduated and Unemployed, No- I have not ,Email,20-25 hours,english  ,linkedin
1054,Product Design,39,USA,Americas,Currently Unemployed, Yes- I have completed multiple such courses ,"Email,LinkedIn",10-15 hours,None  ,linkedin
1055,Product Growth,22,USA,Americas,University Student, No- I have not ,Email,15-20 hours,no  ,indeed
1056,"Product Marketing,Product Development",24,USA,Americas,University Student, Yes- I have completed multiple such courses ,"WhatsApp,Email,LinkedIn",10-15 hours,english  ,referral
1057,Product Marketing,20,USA,Americas,University Student, Yes- I have completed multiple such courses ,"Email,LinkedIn",15-20 hours,english  ,referral
1058,Product Design,23,USA,Americas,Employed, Yes- I have completed multiple such courses ,Email,10-15 hours,"english,spanish ",linkedin
1059,Product Development,21,USA,Americas,University Student, Yes- I have completed multiple such courses ,"Email,WhatsApp,LinkedIn",15-20 hours,no  ,linkedin
1060,"Product Marketing,Product Design,Product Growth ,Product Development",23,USA,Americas,Recently Graduated and Unemployed, I have started a few- but haven't really gotten much out of them/haven't completed any ,"WhatsApp,Email",15-20 hours,spanish  ,linkedin
1061,"Product Marketing,Product Design",26,USA,Americas,University Student, No- I have not ,"Email,LinkedIn",20-25 hours,english  ,linkedin
1062,Product Growth,22,USA,Americas,Recently Graduated and Unemployed, No- I have not ,Email,15-20 hours,english  ,referral
1063,Product Design,21,USA,Americas,Recently Graduated and Unemployed, No- I have not ,"Email,LinkedIn",10-15 hours,english  ,linkedin
1064,Product Development,26,USA,Americas,Employed, No- I have not ,Email,20-25 hours,english  ,linkedin
1065,Product Design,37,USA,Americas,Currently Unemployed, Yes- I have completed multiple such courses ,Email,20-25 hours,english  ,linkedin
1066,Product Design,21,USA,Americas,Recently Graduated and Unemployed, No- I have not ,"WhatsApp,Email",20-25 hours,no  ,linkedin
1067,Product Design,27,USA,Americas,Currently Unemployed, Yes- I have completed multiple such courses ,Email,10-15 hours,None  ,linkedin
1068,Product Design,20,USA,Americas,University Student, No- I have not ,Email,10-15 hours,english  ,linkedin
1069,"Product Design,Product Marketing",22,USA,Americas,University Student, No- I have not ,"Email,LinkedIn",15-20 hours,english  ,linkedin
1070,Product Design,20,USA,Americas,University Student, Yes- I have completed multiple such courses ,"Email,LinkedIn",15-20 hours,english  ,linkedin
1071,"Product Design,Product Development,Product Growth ",29,USA,Americas,University Student, No- I have not ,"Email,LinkedIn",20-25 hours,english  ,referral
1072,"Product Marketing,Product Design",29,USA,Americas,Employed, Yes- I have completed multiple such courses ,"Email,WhatsApp,LinkedIn",15-20 hours,english  ,linkedin
1073,"Product Marketing,Product Design,Product Development,Product Growth ",20,USA,Americas,Employed, No- I have not ,Email,10-15 hours,no  ,linkedin
1074,Product Design,24,USA,Americas,Recently Graduated and Unemployed, No- I have not ,Email,20-25 hours,english  ,linkedin
1075,"Product Marketing,Product Design,Product Growth ,Product Development",23,USA,Americas,University Student, Yes- I have completed multiple such courses ,"Email,LinkedIn",10-15 hours,english  ,referral
1076,"Product Design,Product Development",32,USA,Americas,Currently Unemployed, Yes- I have completed multiple such courses ,"Email,LinkedIn,WhatsApp",15-20 hours,english  ,linkedin
1077,Product Design,25,USA,Americas,Recently Graduated and Unemployed, No- I have not ,"WhatsApp,LinkedIn",15-20 hours,english  ,referral
1078,"Product Development,Product Marketing",29,USA,Americas,University Student, No- I have not ,Email,10-15 hours,english  ,referral
1079,"Product Design,Product Marketing",25,USA,Americas,Recently Graduated and Unemployed, No- I have not ,Email,20-25 hours,no  ,linkedin
1080,"Product Marketing,Product Design",25,USA,Americas,Employed, No- I have not ,"WhatsApp,Email",15-20 hours,english  ,linkedin
1081,Product Design,24,USA,Americas,Employed, I have started a few- but haven't really gotten much out of them/haven't completed any ,Email,10-15 hours,english  ,linkedin
1082,Product Design,22,USA,Americas,Recently Graduated and Unemployed, No- I have not ,Email,10-15 hours,english  ,linkedin
1083,Product Design,30,USA,Americas,Recently Graduated and Unemployed, No- I have not ,Email,20-25 hours,no  ,referral
